epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0.19177350427350429,0.21474358974358973,0.0,0.0,0.01,8,16,24,32,41,49,57,65,73,81,89,97,105,113,122
1,0.19177350427350429,0.21474358974358973,0.0,0.0,0.02,8,16,24,32,41,49,57,65,73,81,89,97,105,113,122
2,0.19177350427350429,0.21474358974358973,0.0,0.0,0.03,8,16,24,32,41,49,57,65,73,81,89,97,105,113,122
3,0.19177350427350429,0.21474358974358973,0.0,0.0,0.03,8,16,25,32,41,49,57,65,73,81,89,97,105,113,122
4,0.19177350427350429,0.21474358974358973,0.0,0.0,0.04,8,16,25,32,41,49,57,65,73,81,89,97,105,113,122
5,0.19177350427350429,0.21474358974358973,0.0,0.0,0.05,8,16,25,32,41,49,57,65,73,81,89,97,105,113,122
6,0.19177350427350429,0.21474358974358973,0.0,0.0,0.06,8,16,25,32,41,49,57,65,73,81,89,97,105,113,122
7,0.19177350427350429,0.21474358974358973,0.0,0.0,0.06,8,16,25,32,41,49,57,65,73,81,89,97,105,113,122
8,0.19177350427350429,0.21474358974358973,0.0,0.0,0.07,8,16,25,32,41,49,57,65,73,81,89,97,105,113,122
9,0.19177350427350429,0.21474358974358973,0.0,0.0,0.08,8,16,25,32,41,49,57,65,73,81,89,97,105,113,122
10,0.19177350427350429,0.21474358974358973,0.0,0.0,0.08,8,16,25,32,41,49,56,65,73,81,89,97,105,113,121
11,0.19177350427350429,0.21474358974358973,0.0,0.0,0.09,8,16,25,32,41,49,56,65,73,81,89,97,105,113,121
12,0.19177350427350429,0.21474358974358973,0.0,0.0,0.1,8,17,25,32,41,49,56,65,73,81,89,97,105,113,121
13,0.19177350427350429,0.21474358974358973,0.0,0.0,0.1,8,17,25,32,41,49,56,65,73,81,89,97,105,113,121
14,0.19177350427350429,0.21474358974358973,0.0,0.0,0.11,8,17,25,32,41,49,56,64,73,81,89,97,105,113,121
15,0.19177350427350429,0.21474358974358973,0.0,0.0,0.12,8,17,25,32,41,49,56,64,72,81,89,97,105,113,121
16,0.19177350427350429,0.21474358974358973,0.0,0.0,0.12,8,17,25,32,41,49,56,64,72,81,89,97,105,113,121
17,0.19177350427350429,0.21474358974358973,0.0,0.0,0.13,8,17,25,32,41,49,56,64,72,81,89,97,105,113,121
18,0.19177350427350429,0.21474358974358973,0.0,0.0,0.14,8,17,25,32,41,49,56,65,72,81,89,97,105,113,121
19,0.19177350427350429,0.21474358974358973,0.0,0.0,0.14,8,17,25,32,41,49,56,65,72,80,89,97,105,113,121
20,0.19177350427350429,0.21474358974358973,0.0,0.0,0.15,8,17,25,32,41,49,56,65,72,80,89,97,105,113,121
21,0.19177350427350429,0.21474358974358973,0.0,0.0,0.16,8,17,25,32,41,49,56,65,72,80,89,97,105,113,121
22,0.19177350427350429,0.21474358974358973,0.0,0.0,0.17,8,17,25,32,41,49,56,64,72,80,89,97,105,113,121
23,0.19177350427350429,0.21474358974358973,0.0,0.0,0.18,8,17,25,32,41,49,56,64,72,80,89,97,105,113,121
24,0.19177350427350429,0.21474358974358973,0.0,0.0,0.19,8,17,25,32,41,49,56,64,72,80,89,97,105,113,121
25,0.19177350427350429,0.21474358974358973,0.0,0.0,0.2,8,17,25,32,41,49,56,64,72,80,89,97,105,113,121
26,0.19177350427350429,0.21474358974358973,0.0,0.0,0.21,8,17,25,32,41,49,56,64,72,80,89,97,105,113,121
27,0.19177350427350429,0.21474358974358973,0.0,0.0,0.22,8,17,25,32,41,50,56,64,72,80,89,97,105,113,121
28,0.19177350427350429,0.21474358974358973,0.0,0.0,0.23,8,17,25,32,41,50,56,64,72,80,89,97,105,113,121
29,0.19177350427350429,0.21474358974358973,0.0,0.0,0.24,8,17,25,32,41,50,56,65,72,80,89,97,105,113,121
30,0.19177350427350429,0.21474358974358973,0.0,0.0,0.24,8,17,25,32,41,50,56,65,73,80,89,97,105,113,121
31,0.19177350427350429,0.21474358974358973,0.0,0.0,0.25,8,17,25,32,41,50,56,65,73,80,89,97,105,113,121
32,0.19177350427350429,0.21474358974358973,0.0,0.0,0.26,8,17,25,32,42,50,56,65,73,80,89,97,105,113,121
33,0.19177350427350429,0.21474358974358973,0.0,0.0,0.26,8,17,25,32,42,50,56,65,73,80,89,97,105,113,121
34,0.19177350427350429,0.21474358974358973,0.0,0.0,0.27,9,17,25,32,42,50,56,65,73,80,89,96,105,113,121
35,0.19177350427350429,0.21474358974358973,0.0,0.0,0.28,9,17,25,32,42,50,56,64,73,80,89,96,105,113,121
36,0.19177350427350429,0.21474358974358973,0.0,0.0,0.28,9,17,25,32,42,50,56,64,73,80,89,96,105,113,121
37,0.19177350427350429,0.21474358974358973,0.0,0.0,0.29,9,17,25,32,42,50,56,64,73,80,89,96,105,113,121
38,0.19177350427350429,0.21474358974358973,0.0,0.0,0.29,9,17,25,31,42,50,56,64,73,80,89,96,105,113,121
39,0.19177350427350429,0.21474358974358973,0.0,0.0,0.3,9,17,25,31,42,50,56,64,73,80,89,96,105,113,121
40,0.19177350427350429,0.21474358974358973,0.0,0.0,0.31,9,17,25,31,42,50,56,64,73,80,89,96,105,113,121
41,0.19177350427350429,0.21474358974358973,-2.3302863074503577e-05,0.0,0.31,9,17,25,31,42,50,56,64,73,80,89,96,105,113,121
42,0.19195156695156695,0.21474358974358973,0.00017371630009688221,-0.0001570105197048477,0.32,9,17,25,31,42,50,56,64,73,80,89,96,105,113,121
