epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.01673789173789174,0.016025641025641024,0.0,0.0,0.01,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
1,0.01673789173789174,0.016025641025641024,0.0,0.0,0.01,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
2,0.01673789173789174,0.016025641025641024,0.0,0.0,0.02,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
3,0.01673789173789174,0.016025641025641024,0.0,0.0,0.02,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
4,0.01673789173789174,0.016025641025641024,0.0,0.0,0.03,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
5,0.01673789173789174,0.016025641025641024,0.0,0.0,0.04,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
6,0.01673789173789174,0.016025641025641024,0.0,0.0,0.04,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
7,0.01673789173789174,0.016025641025641024,0.0,0.0,0.05,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
8,0.01673789173789174,0.016025641025641024,0.0,0.0,0.05,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
9,0.01673789173789174,0.016025641025641024,0.0,0.0,0.06,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
10,0.01673789173789174,0.016025641025641024,0.0,0.0,0.06,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
11,0.01673789173789174,0.016025641025641024,0.0,0.0,0.07,5,10,15,20,25,30,35,40,45,50,55,60,65,69,74,80,85,90,94,100,105,110,115,120,125
12,0.01673789173789174,0.016025641025641024,0.0,0.0,0.07,5,10,15,20,25,30,35,40,45,50,55,60,65,69,74,80,85,89,94,100,105,110,115,120,125
13,0.01673789173789174,0.016025641025641024,0.0,0.0,0.08,5,10,15,20,25,30,35,40,45,50,55,60,65,69,74,80,85,89,94,100,104,110,115,120,125
