epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0.29914,0.28649,0.0,0.0,0.07,4,8,13,17,21,25,29,34,38,42,46,50,54,59,63,67,71,75,80,84,88,92,96,100,105,109,113,117,121,126
1,0.29914,0.28649,0.0,0.0,0.11,4,9,13,17,21,25,29,34,38,42,46,50,54,59,63,67,71,75,79,84,88,92,96,100,105,109,113,117,121,126
2,0.29894,0.28649,-0.00035,0.0,0.14,4,9,13,17,21,25,29,33,38,42,46,50,54,59,63,67,71,75,79,84,88,92,96,100,105,109,113,117,121,125
3,0.29393,0.27928,-0.00806,-0.01108,0.18,4,9,13,17,21,25,29,33,38,42,46,50,54,59,63,67,71,75,79,84,88,92,96,100,105,109,113,117,121,125
4,0.28231,0.26306,-0.02615,-0.03608,0.21,4,9,13,17,21,25,30,33,38,42,46,50,54,58,63,67,71,75,79,84,88,92,96,100,105,109,113,117,121,125
5,0.26788,0.25225,-0.04873,-0.05331,0.24,4,9,13,17,21,25,30,33,38,42,46,50,54,58,63,67,71,75,79,84,88,92,96,100,105,109,113,117,121,125
6,0.25606,0.24144,-0.06761,-0.0701,0.28,4,9,13,17,21,25,30,33,38,42,46,50,54,58,63,67,71,75,79,84,88,92,96,100,105,109,113,117,121,125
7,0.24484,0.23964,-0.08606,-0.07368,0.31,4,9,13,17,21,25,30,33,38,42,46,50,54,58,63,67,71,75,79,84,88,92,96,100,105,109,113,117,121,125
8,0.24204,0.23063,-0.09343,-0.09224,0.35,4,9,13,17,21,25,30,33,38,42,46,50,54,58,63,67,71,75,79,84,88,92,96,100,105,109,113,117,121,125
9,0.24985,0.22342,-0.0876,-0.10843,0.38,4,9,13,17,21,25,30,33,38,42,46,50,54,58,62,67,71,75,79,84,88,92,96,100,105,109,113,117,121,125
10,0.26728,0.22703,-0.06992,-0.11313,0.41,4,9,13,17,21,25,30,33,38,42,46,50,54,58,62,67,72,75,79,84,88,92,96,100,105,109,113,117,121,125
11,0.28471,0.24505,-0.05376,-0.09834,0.45,4,9,13,17,21,25,30,33,38,42,46,50,54,58,62,67,72,75,79,84,88,92,96,100,105,109,113,117,121,125
12,0.30134,0.25586,-0.04067,-0.09689,0.48,4,9,13,17,21,25,30,33,38,42,46,50,54,58,62,67,72,75,79,84,88,92,96,100,105,109,113,117,121,125
13,0.30355,0.26126,-0.05262,-0.10746,0.52,4,9,13,17,21,25,30,33,38,42,46,50,54,58,62,67,72,75,79,84,88,92,96,100,105,109,113,117,121,125
14,0.30715,0.29009,-0.06199,-0.08154,0.55,4,9,13,17,21,25,30,33,38,42,47,50,54,58,62,67,72,75,79,84,88,92,96,100,105,109,113,117,121,125
15,0.31517,0.28468,-0.06179,-0.10513,0.58,4,9,13,17,21,25,30,33,38,42,47,50,54,58,62,67,72,75,79,84,88,92,96,100,105,109,113,117,121,125
16,0.32599,0.2991,-0.05337,-0.09745,0.62,4,9,12,17,21,25,30,33,38,42,47,50,54,58,62,66,72,75,79,84,88,92,96,100,105,109,113,117,121,125
17,0.3334,0.31171,-0.04875,-0.08471,0.65,4,9,12,17,21,25,30,33,38,42,47,50,54,58,62,66,72,75,79,84,88,92,96,100,105,109,113,117,121,125
18,0.34302,0.32432,-0.03888,-0.0721,0.69,4,9,12,17,21,25,30,33,38,42,47,50,54,58,62,66,72,75,79,84,88,92,96,100,105,109,113,117,121,125
19,0.34943,0.34234,-0.03256,-0.04953,0.72,4,9,12,17,21,25,30,33,38,43,47,50,54,58,62,66,72,75,79,84,88,92,96,100,105,109,113,117,121,125
20,0.35324,0.34414,-0.02998,-0.04896,0.76,4,9,12,17,21,25,30,33,38,43,47,50,54,58,62,66,72,75,79,84,88,92,96,100,105,109,113,117,121,125
21,0.35824,0.35135,-0.02459,-0.04029,0.79,4,9,12,17,21,25,30,33,38,43,47,50,54,58,62,66,72,75,79,84,88,92,96,100,105,109,113,117,121,125
22,0.36125,0.35495,-0.0219,-0.03853,0.82,4,9,12,17,21,25,30,33,38,43,47,50,54,58,62,66,72,75,79,84,88,92,96,100,105,108,113,117,121,125
23,0.36526,0.35856,-0.01666,-0.03387,0.85,4,9,12,17,21,25,30,33,38,43,47,50,54,58,62,66,72,75,79,84,88,92,96,100,105,108,113,117,121,125
24,0.36726,0.36937,-0.01422,-0.01814,0.89,4,9,12,17,21,25,30,33,38,43,47,49,54,58,62,66,72,75,79,84,88,91,96,100,105,108,113,117,121,125
25,0.36947,0.37117,-0.01145,-0.01551,0.92,4,9,12,17,21,25,30,33,38,43,47,49,54,58,62,66,72,74,79,85,88,91,96,100,105,108,113,117,121,125
26,0.37247,0.37477,-0.00711,-0.01026,0.95,4,9,12,17,21,25,30,33,38,43,47,49,54,58,62,66,72,74,79,85,88,91,96,100,105,108,113,117,121,125
27,0.37307,0.37658,-0.00629,-0.00762,0.99,4,9,12,17,21,25,30,33,38,43,47,49,54,58,62,66,72,74,79,85,88,91,96,100,105,108,113,117,121,125
28,0.37387,0.37658,-0.00516,-0.00762,1.02,4,9,12,17,21,25,30,33,38,43,47,49,54,58,62,66,72,74,79,85,88,91,96,100,105,108,113,117,121,125
29,0.37447,0.37658,-0.0043,-0.00762,1.06,4,9,12,17,21,25,30,33,38,43,46,49,54,58,62,66,72,74,79,85,88,91,96,100,105,108,113,117,121,125
