epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0.378806767586821,0.34935897435897434,0.0,0.0,0.01,8,16,24,32,41,49,57,65,73,81,89,97,105,113,122
1,0.378806767586821,0.34935897435897434,0.0,0.0,0.02,8,16,24,32,41,49,57,65,73,81,89,97,105,113,122
2,0.378806767586821,0.34935897435897434,0.0,0.0,0.03,8,16,24,32,41,49,57,65,73,81,89,97,105,113,122
3,0.378806767586821,0.34935897435897434,0.0,0.0,0.03,8,16,25,32,41,49,57,65,73,81,89,97,105,113,122
4,0.378806767586821,0.34935897435897434,0.0,0.0,0.04,8,16,25,32,40,49,57,65,73,81,89,97,105,113,122
5,0.378806767586821,0.34935897435897434,0.0,0.0,0.05,8,16,25,32,40,49,57,65,73,81,89,97,105,113,122
6,0.378806767586821,0.34935897435897434,0.0,0.0,0.06,8,16,25,32,40,49,57,65,73,81,89,97,105,113,122
7,0.378806767586821,0.34935897435897434,0.0,0.0,0.07,8,16,25,32,40,49,57,65,73,81,89,97,105,113,122
8,0.378806767586821,0.34935897435897434,0.0,0.0,0.08,8,16,25,32,40,49,57,65,73,81,89,98,105,113,122
9,0.378806767586821,0.34935897435897434,0.0,0.0,0.08,8,16,25,32,40,49,57,65,73,81,89,98,105,113,122
10,0.378806767586821,0.34935897435897434,0.0,0.0,0.1,8,16,25,32,40,49,57,65,73,81,90,98,105,113,121
11,0.378806767586821,0.34935897435897434,0.0,0.0,0.11,8,16,25,32,40,49,57,65,73,81,90,98,105,113,121
12,0.378806767586821,0.34935897435897434,0.0,0.0,0.11,8,16,25,32,40,49,57,64,73,82,90,98,105,113,121
13,0.378806767586821,0.34935897435897434,0.0,0.0,0.12,8,16,25,32,40,49,57,64,73,82,90,98,105,113,121
14,0.378806767586821,0.34935897435897434,0.0,0.0,0.13,8,16,25,32,40,49,57,64,73,82,90,98,105,113,121
15,0.378806767586821,0.34935897435897434,0.0,0.0,0.14,8,16,25,32,40,49,57,64,74,82,90,98,105,113,121
16,0.378806767586821,0.34935897435897434,0.0,0.0,0.15,8,16,25,32,40,49,57,64,74,82,90,98,105,113,121
17,0.378806767586821,0.34935897435897434,0.0,0.0,0.15,8,16,25,32,40,49,57,64,74,82,90,98,105,113,121
18,0.378806767586821,0.34935897435897434,0.0,0.0,0.17,8,16,25,32,40,49,57,64,74,82,90,98,105,113,121
19,0.378806767586821,0.34935897435897434,0.0,0.0,0.18,8,16,25,32,40,49,57,64,74,82,90,98,105,113,121
20,0.378806767586821,0.34935897435897434,0.0,0.0,0.19,8,16,25,32,40,49,57,64,74,82,90,98,105,113,121
21,0.378806767586821,0.34935897435897434,0.0,0.0,0.2,8,16,25,32,40,49,57,64,74,82,90,98,105,113,121
22,0.378806767586821,0.34935897435897434,0.0,0.0,0.21,8,16,25,32,40,49,57,64,74,82,90,98,105,113,121
23,0.378806767586821,0.34935897435897434,0.0,0.0,0.21,8,16,25,32,40,49,57,64,74,82,90,98,105,113,121
24,0.378806767586821,0.34935897435897434,0.0,0.0,0.22,8,16,25,32,40,49,57,64,74,82,90,98,105,113,121
25,0.378806767586821,0.34935897435897434,0.0,0.0,0.23,8,16,25,32,40,50,57,64,74,82,90,98,105,113,121
26,0.378806767586821,0.34935897435897434,0.0,0.0,0.24,8,16,25,32,40,50,57,64,74,82,90,98,105,113,121
27,0.378806767586821,0.34935897435897434,0.0,0.0,0.25,8,16,25,32,40,50,57,64,74,82,90,98,105,113,121
28,0.378806767586821,0.34935897435897434,0.0,0.0,0.25,8,16,25,32,40,50,57,64,74,82,90,98,105,113,121
29,0.378806767586821,0.34935897435897434,0.0,0.0,0.26,8,16,25,32,40,50,57,64,74,82,90,98,105,113,121
30,0.378806767586821,0.34935897435897434,0.0,0.0,0.27,8,16,25,32,40,50,58,64,74,82,90,98,105,113,121
